,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
82,CSBB,Coblentz Julian L,Director,"Jun 04, 2021",$38.50,1000,38500,5038,"Jun 07, 2021, 04:24 PM",buy
83,WSC,BARTLETT MARK S.,Director,"Jun 04, 2021",$27.99,5000,139960,134925,"Jun 07, 2021, 01:52 PM",buy
84,WSC,BARTLETT MARK S.,Director,"Jun 03, 2021",$28.04,20000,560760,129925,"Jun 07, 2021, 01:52 PM",buy
85,RCG,STAHL MURRAY,President and CEO,"Jun 04, 2021",$2.65,300,796,154525,"Jun 07, 2021, 11:07 AM",buy
86,RCG,STAHL MURRAY,President and CEO,"Jun 04, 2021",$2.66,75,199,154225,"Jun 07, 2021, 11:07 AM",buy
87,RCG,STAHL MURRAY,President and CEO,"Jun 04, 2021",$2.65,300,796,154825,"Jun 07, 2021, 11:07 AM",buy
88,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,2,2973,102281,"Jun 07, 2021, 10:45 AM",buy
89,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,1,1486,42856,"Jun 07, 2021, 10:45 AM",buy
90,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,10,14863,808,"Jun 07, 2021, 10:45 AM",buy
91,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,12,17836,228219,"Jun 07, 2021, 10:45 AM",buy
92,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,1,1486,1334,"Jun 07, 2021, 10:45 AM",buy
93,TPL,STAHL MURRAY,Director,"Jun 04, 2021",$1486.34,3,4459,1166,"Jun 07, 2021, 10:45 AM",buy
94,GOF,Brock-Kyle Angela,Director,"Jun 04, 2021",$21.27,1000,21270,1000,"Jun 07, 2021, 09:39 AM",buy
95,VPG,Cummins Wes,Director,"Jun 03, 2021",$34.16,10000,341600,150000,"Jun 07, 2021, 08:58 AM",buy
96,RPHM,Muralidhar Bali,Director,"Jun 03, 2021",$9.25,12100,111943,1877375,"Jun 07, 2021, 08:53 AM",buy
97,RPHM,Muralidhar Bali,Director,"Jun 04, 2021",$9.42,257,2422,1877632,"Jun 07, 2021, 08:53 AM",buy
98,VRCA,White Ted,President and CEO,"Jun 04, 2021",$9.95,4000,39800,21966,"Jun 07, 2021, 08:44 AM",buy
99,VRCA,Hayes Christopher G.,Chief Legal Officer,"Jun 04, 2021",$9.79,2500,24475,2500,"Jun 07, 2021, 08:42 AM",buy
100,MBCN,Voinovich Michael C,Director,"Jun 03, 2021",$23.84,20,477,4831,"Jun 07, 2021, 07:09 AM",buy
1,RM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",Director,"Jun 03, 2021",$48.24,15852,764701,912513,"Jun 04, 2021, 09:11 PM",buy
2,RM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",Director,"Jun 02, 2021",$49.39,12191,602113,919015,"Jun 04, 2021, 09:11 PM",buy
3,RM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",Director,"Jun 04, 2021",$46.95,33559,1575595,930209,"Jun 04, 2021, 09:11 PM",buy
4,SRT,Sengupta Aparup,Global Chief Executive Officer,"Jun 02, 2021",$6.97,10000,69713,77892,"Jun 04, 2021, 09:00 PM",buy
5,DXC,FERNANDEZ RAUL J,Director,"Jun 02, 2021",$39.73,2517,99994,29485,"Jun 04, 2021, 08:27 PM",buy
6,DYAI,Rawson Ping Wang,Chief Financial Officer,"Jun 03, 2021",$3.60,3320,11952,9650,"Jun 04, 2021, 08:26 PM",buy
7,DYAI,Rawson Ping Wang,Chief Financial Officer,"Jun 02, 2021",$3.83,6330,24254,6330,"Jun 04, 2021, 08:26 PM",buy
8,DYAI,Rawson Ping Wang,Chief Financial Officer,"Jun 03, 2021",$3.60,1350,4860,35850,"Jun 04, 2021, 08:26 PM",buy
9,FEYE,Watters John P.,President & COO,"Jun 04, 2021",$18.75,25000,468628,253608,"Jun 04, 2021, 07:00 PM",buy
10,GEG,Parmelee James P,Director,"Jun 03, 2021",$2.75,5000,13750,106678,"Jun 04, 2021, 05:56 PM",buy
11,GNPK,"Crescent Park Management, L.P.",10% Owner,"Jun 02, 2021",$10.04,7859,78871,2554984,"Jun 04, 2021, 05:41 PM",buy
12,AUVI,Munn Max,President,"May 18, 2021",$7.23,5000,36150,5010000,"Jun 04, 2021, 05:12 PM",buy
13,AUVI,Munn Max,President,"May 10, 2021",$8.73,5000,43643,5005000,"Jun 04, 2021, 05:12 PM",buy
14,CNTA,De Rubertis Francesco,Director,"Jun 02, 2021",$20.00,600000,12000000,3741609,"Jun 04, 2021, 05:01 PM",buy
15,CNTA,CHAO DAVID M,Chief Administrative Officer,"Jun 02, 2021",$20.00,500,10000,500,"Jun 04, 2021, 05:00 PM",buy
16,CNTA,HUSSAIN IQBAL J,General Counsel,"Jun 02, 2021",$20.00,3000,60000,3000,"Jun 04, 2021, 05:00 PM",buy
17,CNTA,HUSSAIN IQBAL J,General Counsel,"Jun 02, 2021",$20.00,5500,110000,5500,"Jun 04, 2021, 05:00 PM",buy
18,CNTA,GOYAL ARJUN,Director,"Jun 02, 2021",$20.00,750000,15000000,3825659,"Jun 04, 2021, 05:00 PM",buy
19,CNTA,Thorell Marella,Chief Accounting Officer,"Jun 02, 2021",$20.00,1000,20000,1000,"Jun 04, 2021, 05:00 PM",buy
20,CNTA,Weinhoff Gregory M,Chief Financial Officer,"Jun 02, 2021",$20.00,10000,200000,10000,"Jun 04, 2021, 05:00 PM",buy
21,VCYT,Holstein Jens,Director,"Jun 03, 2021",$35.19,2000,70389,2000,"Jun 04, 2021, 05:00 PM",buy
22,HVBC,Thompson Travis J,"Chairman, President/CEO","Jun 04, 2021",$20.86,1000,20857,50000,"Jun 04, 2021, 04:48 PM",buy
23,ACI,Theilmann Michael T,EVP & Chief HR Officer,"Jun 30, 2020",$16.00,2500,40000,40441,"Jun 04, 2021, 04:32 PM",buy
24,ETNB,"RA CAPITAL MANAGEMENT, L.P.",Director,"Jun 02, 2021",$18.77,22138,415530,4965769,"Jun 04, 2021, 04:31 PM",buy
25,CNTA,Medicxi Ventures Management (Jersey) Ltd,10% Owner,"Jun 02, 2021",$20.00,600000,12000000,3741609,"Jun 04, 2021, 04:30 PM",buy
26,ACI,DIMOND ROBERT B,EVP & Chief Financial Officer,"Jun 30, 2020",$16.00,1000,16000,457508,"Jun 04, 2021, 04:29 PM",buy
27,PETV,Deming David Don,Director,"Jun 02, 2021",$7.00,800,5600,15112,"Jun 04, 2021, 04:29 PM",buy
28,ATCX,Jain Priya,Chief Growth Officer,"Jun 01, 2021",$11.00,300,3300,12561,"Jun 04, 2021, 04:20 PM",buy
29,ATCX,Jain Priya,Chief Growth Officer,"May 28, 2021",$11.00,1000,11000,12261,"Jun 04, 2021, 04:20 PM",buy
30,ATCX,Jain Priya,Chief Growth Officer,"Jun 02, 2021",$11.00,7700,84700,20261,"Jun 04, 2021, 04:20 PM",buy
31,NCR,Kiser Georgette D.,Director,"Jun 03, 2021",$46.28,50,2314,20293,"Jun 04, 2021, 04:19 PM",buy
32,OPOF,KEEFE WILLIAM F,Director,"Jun 02, 2021",$22.95,31,711,7931,"Jun 04, 2021, 04:14 PM",buy
33,TIPT,Ilany Jonathan,Chief Executive Officer,"Jun 04, 2021",$10.00,430,4300,34400,"Jun 04, 2021, 04:06 PM",buy
34,TIPT,Ilany Jonathan,Chief Executive Officer,"Jun 04, 2021",$9.96,1500,14942,144019,"Jun 04, 2021, 04:06 PM",buy
35,FPAY,Dvorkin Howard,Director,"Jun 02, 2021",$2.60,9166,23832,2038807,"Jun 04, 2021, 04:00 PM",buy
36,ZIVO,Cornell Alison A,Director,"Jun 02, 2021",$4.99,15000,74850,15000,"Jun 04, 2021, 03:49 PM",buy
37,GOED,Milburn Glyn C.,Director,"Jun 02, 2021",$2.24,2200,4928,2200,"Jun 04, 2021, 03:12 PM",buy
38,GOED,Crosnoe Clark R.,Director,"Jun 02, 2021",$2.24,88800,198912,88800,"Jun 04, 2021, 03:11 PM",buy
39,GOED,Crosnoe Clark R.,Director,"Jun 02, 2021",$2.24,444400,995456,444400,"Jun 04, 2021, 03:11 PM",buy
40,MSF A,Dennis Kathleen A,Director,"Jun 02, 2021",$937.65,5,4688,14,"Jun 04, 2021, 02:40 PM",buy
41,FRAF,Cekovich Ronald L,SVP,"Jun 02, 2021",$30.50,3,92,7916,"Jun 04, 2021, 01:58 PM",buy
42,FRAF,Carmack Karen K,SVP,"Jun 02, 2021",$30.50,1,31,1639,"Jun 04, 2021, 01:56 PM",buy
43,FRAF,Hanks Patricia A,SVP,"Jun 02, 2021",$30.50,3,92,3932,"Jun 04, 2021, 01:54 PM",buy
44,FRAF,Craig Kevin W,Director,"Jun 02, 2021",$30.50,492,15006,5774,"Jun 04, 2021, 01:49 PM",buy
45,FRAF,Hollar Mark R,CFO,"Jun 02, 2021",$30.50,3,92,5911,"Jun 04, 2021, 01:46 PM",buy
46,STXB,Patel Akash J.,Director,"Jun 02, 2021",$23.07,86,1984,185881,"Jun 04, 2021, 01:42 PM",buy
47,CWBC,STOVESAND KIRK,Director,"Jun 02, 2021",$12.92,363,4690,70139,"Jun 04, 2021, 01:28 PM",buy
48,HTLD,Sullivan Michael John,Director,"Jun 03, 2021",$17.80,1000,17800,11902,"Jun 04, 2021, 12:38 PM",buy
49,RCG,STAHL MURRAY,President and CEO,"Jun 03, 2021",$2.66,300,799,153850,"Jun 04, 2021, 12:24 PM",buy
50,RCG,STAHL MURRAY,President and CEO,"Jun 03, 2021",$2.67,75,200,153550,"Jun 04, 2021, 12:24 PM",buy
51,RCG,STAHL MURRAY,President and CEO,"Jun 03, 2021",$2.66,300,799,154150,"Jun 04, 2021, 12:24 PM",buy
52,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,3,4410,1163,"Jun 04, 2021, 12:08 PM",buy
53,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,2,2940,102279,"Jun 04, 2021, 12:08 PM",buy
54,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,1,1470,42855,"Jun 04, 2021, 12:08 PM",buy
55,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,10,14700,798,"Jun 04, 2021, 12:08 PM",buy
56,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,12,17640,228207,"Jun 04, 2021, 12:08 PM",buy
57,TPL,STAHL MURRAY,Director,"Jun 03, 2021",$1470.00,1,1470,1333,"Jun 04, 2021, 12:08 PM",buy
58,AFL,Kiser Georgette D.,Director,"Jun 03, 2021",$57.34,50,2867,10016,"Jun 04, 2021, 09:12 AM",buy
59,MITI,Diamond Lawrence M.,Chief Executive Officer,"Jun 03, 2021",$0.26,60000,15726,3695471,"Jun 04, 2021, 09:11 AM",buy
60,CZWI,Bianchi Stephen M,CEO and President,"Jun 03, 2021",$13.90,300,4170,43941,"Jun 04, 2021, 08:34 AM",buy
61,CZWI,Bianchi Stephen M,CEO and President,"Jun 03, 2021",$13.90,200,2780,51207,"Jun 04, 2021, 08:34 AM",buy
62,TURN,Wolfe Daniel B,President,"Jun 03, 2021",$8.05,2500,20125,135000,"Jun 04, 2021, 08:27 AM",buy
63,MBCN,Voinovich Michael C,Director,"Jun 02, 2021",$24.00,6,144,4811,"Jun 04, 2021, 07:22 AM",buy
64,HCHC,GLAZER AVRAM A,Director,"Jun 01, 2021",$4.00,971,3884,2807661,"Jun 04, 2021, 06:13 AM",buy
65,ESXB,THOMAS BRUCE E,EVP and CFO,"Jun 01, 2021",$8.99,209,1879,31614,"Jun 03, 2021, 09:28 PM",buy
66,ESXB,WILLIAMS ROBIN TRAYWICK,Director,"Jun 01, 2021",$8.74,7,61,87837,"Jun 03, 2021, 09:27 PM",buy
67,ESXB,Barber Gerald F.,Director,"Jun 02, 2021",$9.00,54,486,30755,"Jun 03, 2021, 09:24 PM",buy
68,ESXB,Barber Gerald F.,Director,"Jun 01, 2021",$8.74,147,1285,30701,"Jun 03, 2021, 09:24 PM",buy
69,ESXB,Barber Gerald F.,Director,"Jun 02, 2021",$9.00,42,378,6348,"Jun 03, 2021, 09:24 PM",buy
70,SOR,LEGGIO RYAN A.,Vice President - Strategy,"Jun 02, 2021",$45.59,1000,45590,2700,"Jun 03, 2021, 09:12 PM",buy
71,SOR,LEGGIO RYAN A.,Vice President - Strategy,"Jun 01, 2021",$45.60,571,26038,1700,"Jun 03, 2021, 09:10 PM",buy
72,FORA,WYGOD MARTIN J,Director,"Jun 01, 2021",$9.95,1300,12935,2415048,"Jun 03, 2021, 08:55 PM",buy
73,NRIM,DRABEK ANTHONY,Director,"Jun 03, 2021",$44.46,555,24675,3830,"Jun 03, 2021, 07:46 PM",buy
74,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 01, 2021",$1.61,1600,2576,10755950,"Jun 03, 2021, 07:25 PM",buy
75,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 02, 2021",$1.64,465,763,10756415,"Jun 03, 2021, 07:25 PM",buy
76,ZGNX,TANNENBAUM RENEE P,Director,"Jun 01, 2021",$17.05,5000,85247,37872,"Jun 03, 2021, 07:20 PM",buy
77,ZGNX,Waynick Denelle J,Director,"Jun 01, 2021",$17.07,584,9969,584,"Jun 03, 2021, 07:20 PM",buy
78,GDEN,MIODUNSKI ROBERT L,Director,"Jun 01, 2021",$45.00,500,22500,78919,"Jun 03, 2021, 07:12 PM",buy
79,CSV,Quezada Carlos R.,Chief Operating Officer,"Jun 03, 2021",$37.47,1000,37470,3699,"Jun 03, 2021, 07:11 PM",buy
80,MRSN,Alleva Lawrence M,Director,"Jun 01, 2021",$14.38,1035,14883,2120,"Jun 03, 2021, 06:58 PM",buy
81,ARYA,PERCEPTIVE ADVISORS LLC,Director,"Jun 03, 2021",$10.05,330050,3317003,489975,"Jun 03, 2021, 06:55 PM",buy
82,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 02, 2021",$5.78,692,3997,2160000,"Jun 03, 2021, 06:30 PM",buy
83,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 02, 2021",$5.78,692,3997,2160000,"Jun 03, 2021, 06:30 PM",buy
84,DNB,Hipsher Bryan T.,Chief Financial Officer,"Jun 02, 2021",$21.00,3000,63000,114227,"Jun 03, 2021, 06:02 PM",buy
85,MS,LUCZO STEPHEN J,Director,"Apr 17, 2020",$38.59,29000,1119229,154449,"Jun 03, 2021, 05:46 PM",buy
86,RVPH,"VEDANTA PARTNERS, LLC",10% Owner,"Jun 01, 2021",$3.75,1330000,4987500,931000,"Jun 03, 2021, 05:31 PM",buy
87,MLVF,KENT HOWARD,Director,"Jun 01, 2021",$18.83,203,3822,158825,"Jun 03, 2021, 05:26 PM",buy
88,GRTX,Alleva Lawrence M,Director,"Jun 01, 2021",$8.59,4045,34741,4045,"Jun 03, 2021, 05:22 PM",buy
89,ED,Sanchez Robert,"President & CEO, O&R","May 31, 2021",$77.24,30,2317,6801,"Jun 03, 2021, 05:21 PM",buy
90,ED,Nadkarni Gurudatta D,"VP, Strategic Planning","May 31, 2021",$77.24,27,2085,8126,"Jun 03, 2021, 05:21 PM",buy
91,MLVF,Fish Andrew D.,Director,"Jun 01, 2021",$18.83,141,2655,5766,"Jun 03, 2021, 05:21 PM",buy
92,ED,Nachmias Stuart,President & CEO CET,"May 31, 2021",$77.24,9,695,1127,"Jun 03, 2021, 05:19 PM",buy
93,BMRC,Barlow Steven I.,Director,"Jun 03, 2021",$33.71,100,3371,1634,"Jun 03, 2021, 05:19 PM",buy
94,MLVF,Feinstein Norman,Director,"Jun 01, 2021",$18.83,141,2655,13987,"Jun 03, 2021, 05:19 PM",buy
95,ED,Miller Joseph,VP & Controller,"May 31, 2021",$77.24,3,232,931,"Jun 03, 2021, 05:17 PM",buy
96,ED,Ketschke Matthew,President CECONY,"May 31, 2021",$77.24,1,77,858,"Jun 03, 2021, 05:15 PM",buy
97,ED,Donnley Deneen L,SVP and General Counsel,"May 31, 2021",$77.24,30,2317,792,"Jun 03, 2021, 05:14 PM",buy
